"","Barrier","Solution","For high-intensity activities (e.g. running)","If activity was planned alone","If activity was planned outside","If activity was planned with other people","For low-intensity activities (e.g. walking)","If material is required","Other Context","Other Activity","Implementation","Other Profile","No Condition"
"52","Back pain ","Find someone who supports me in this, either online or offline, e.g. by encouraging me.",0,1,0,3,0,0,0,0,0,0,0
"53","Back pain ","Keep my goal in mind",1,1,1,2,1,1,0,0,0,0,0
"54","Back pain ","Keep track of my activity",0,1,0,1,1,1,0,0,0,1,0
"55","Back pain ","Learn about health benefits of doing the behaviour",1,2,1,2,3,1,0,0,0,0,0
"56","Back pain ","Learn about the consequences this will have on my health",1,1,0,0,1,1,0,0,0,1,0
"57","Back pain ","Learn about the risks of not doing the behaviour",2,0,1,0,3,0,0,0,0,0,0
"58","Back pain ","Look up inspirational content, such as videos or posts, online",2,4,1,2,2,2,0,0,0,3,0
"59","Back pain ","Make a commitment to myself to do this no matter what comes in my way!",2,1,3,1,0,0,0,0,0,1,0
"60","Back pain ","Make a commitment to myself to really do this!",0,1,0,0,1,0,0,0,0,1,0
"61","Back pain ","Make my goal public",0,1,1,0,0,0,0,0,0,0,0
"62","Back pain ","Make sure to be visible",0,2,3,1,0,0,0,0,0,0,0
"63","Back pain ","Make sure to warm up sufficiently before the activity",1,3,3,1,1,0,0,0,0,0,0
"64","Back pain ","Provide a positive consequence or reward for doing the activity",4,3,1,3,2,1,0,0,0,0,0
"65","Back pain ","Put on music or a podcast",1,2,1,1,1,0,0,0,0,0,0
"66","Back pain ","Put the material I will need within my sight as a visible reminder",0,0,0,0,1,4,0,0,0,0,0
"67","Back pain ","Remind myself of the positive effects doing this will have on my physical health",0,1,1,1,2,0,0,0,1,1,0
"68","Back pain ","Remind myself of the positive effects this will have on me",1,1,1,1,1,0,0,1,0,1,0
"69","Back pain ","Set an alarm",2,5,1,3,1,1,0,0,0,1,0
"70","Back pain ","Set my material or equipment ready to use",1,3,2,0,1,8,0,0,0,0,0
"71","Back pain ","Set suitable clothing ready to use",1,0,2,0,1,3,0,0,0,0,0
"72","Back pain ","Shorten the duration of the activity",4,2,2,1,1,1,0,0,0,0,1
"73","Back pain ","Start my day early enough to have time for the activity",1,2,0,0,1,0,0,0,0,0,0
"74","Back pain ","Take breaks whenever needed",0,0,0,2,0,0,0,0,0,1,1
"75","Back pain ","Take medication to help with the symptoms",4,1,0,0,1,1,0,0,0,3,1
"76","Back pain ","Take pictures during the activity",0,1,1,1,0,0,0,0,0,0,0
"77","Back pain ","Tell myself that you can do this, and think about why",2,4,1,2,2,1,0,0,0,0,0
"78","Back pain ","Think about how I will feel tonight if I haven't managed to do this",0,1,1,1,2,0,0,0,0,0,0
"79","Back pain ","Think about situations where I achieved similar goals",1,3,1,2,2,1,0,0,0,1,0
"80","Back pain ","Use positive selftalk",0,0,1,0,0,0,0,0,0,0,0
"81","Back pain ","Watch something during the activity",0,1,0,0,1,2,0,1,0,0,0
"82","BrokenMaterial#","Change what I am going to do",1,3,1,0,1,20,0,0,0,0,0
"83","BrokenMaterial#","Find someone to help me with those practical barriers",1,1,0,1,0,20,0,0,0,0,0
"84","BrokenMaterial#","Find someone to provide you with instructions for the behaviour online, for example in a video or text",0,2,0,0,0,20,0,0,0,0,0
"85","BrokenMaterial#","Look up inspirational content, such as videos or posts, online",0,0,0,0,0,18,0,0,0,0,0
"86","BrokenMaterial#","Make sure to be visible",0,1,1,1,0,18,0,0,0,0,0
"87","BrokenMaterial#","Set my material or equipment ready to use",0,0,0,0,0,20,0,0,0,0,0
"88","BrokenMaterial#","Set suitable clothing ready to use",0,0,0,0,0,20,0,0,0,0,0
"89","BrokenMaterial#","Take breaks whenever needed",0,1,0,0,0,20,0,0,0,0,0
"90","BrokenMaterial#","Take pictures during the activity",0,0,0,0,0,19,0,0,0,0,0
"91","BrokenMaterial#","Use positive selftalk",0,1,0,0,0,19,0,0,0,0,0
"92","Distraction","Adjust the intensity of the activity according to your needs",2,3,0,0,1,1,0,0,0,0,0
"93","Distraction","Ask other people if they want to join",2,5,2,1,3,0,0,0,0,0,0
"94","Distraction","Ask someone to remind you of your activity",2,4,3,5,3,3,0,0,0,0,0
"95","Distraction","Call someone while doing the activity",0,6,0,2,1,0,0,0,0,0,0
"96","Distraction","Change what I am going to do",1,4,1,2,1,2,0,1,0,0,0
"97","Distraction","Combine being active with something else I want to do",1,6,1,2,1,2,0,0,0,0,1
"98","Distraction","Divide the activity into shorter parts",5,6,5,3,4,3,0,1,0,0,0
"99","Distraction","Do it at a different time today",0,5,1,1,0,1,1,0,1,0,1
"100","Distraction","Do it indoors instead",1,5,6,1,1,1,1,0,0,0,0
"101","Distraction","Do it somewhere else",0,3,2,0,0,1,2,2,0,0,0
"102","Distraction","Find social support in a pet",0,5,2,1,0,1,0,0,0,0,0
"103","Distraction","Find someone to demonstrate the behaviour for you online, for example in a video",2,2,2,1,1,1,0,0,0,0,0
"104","Distraction","Find someone to provide you with instructions for the behaviour online, for example in a video or text",0,4,0,3,0,0,0,0,0,0,0
"105","Distraction","Find someone who supports me in this, either online or offline, e.g. by encouraging me.",0,1,0,2,0,1,0,0,0,0,0
"106","Distraction","Keep my goal in mind",1,4,0,1,1,1,0,0,0,0,0
"107","Distraction","Keep track of my activity",3,5,5,5,4,3,0,0,0,0,0
"108","Distraction","Keep track of my activity using a device, such as a fitness tracker",1,0,0,0,0,0,0,0,0,0,0
"109","Distraction","Learn about the risks of not doing the behaviour",0,3,0,0,0,1,0,0,0,1,0
"110","Distraction","Look up inspirational content, such as videos or posts, online",0,4,0,1,0,2,0,0,0,0,0
"111","Distraction","Make a commitment to myself to do this no matter what comes in my way!",1,3,2,2,2,0,0,0,0,0,0
"112","Distraction","Make a commitment to myself to really do this!",1,4,2,2,2,0,0,0,0,0,0
"113","Distraction","Make my goal public",1,4,3,0,1,1,0,0,0,1,1
"114","Distraction","Make sure to eat well before and after, and time your meals appropriately",3,1,0,1,2,0,0,0,0,0,0
"115","Distraction","Make sure to get enough sleep before the activity",2,1,1,1,1,1,0,0,0,0,0
"116","Distraction","Plan how to get there",0,1,1,2,0,0,0,1,0,0,0
"117","Distraction","Provide a positive consequence or reward for doing the activity",3,5,1,2,1,0,0,0,0,0,0
"118","Distraction","Put on music or a podcast",1,4,1,0,1,1,0,0,0,0,0
"119","Distraction","Reduce the mental load by making most decisions (e.g. what to do exactly, what to wear, when to do it) ahead of time, or outsourcing some decisions",2,2,1,1,2,1,0,0,0,0,0
"120","Distraction","Remind myself of the positive effects doing this will have on my physical health",2,2,2,2,1,0,0,0,0,0,0
"121","Distraction","Set an alarm",2,4,2,3,2,3,0,0,0,0,0
"122","Distraction","Set my material or equipment ready to use",0,2,0,0,0,9,0,0,0,0,0
"123","Distraction","Set suitable clothing ready to use",0,3,1,1,0,3,0,1,0,0,0
"124","Distraction","Shorten the duration of the activity",1,5,0,0,1,1,0,0,0,0,0
"125","Distraction","Take away distractions",0,3,0,0,0,0,0,0,0,0,0
"126","Distraction","Take breaks whenever needed",3,3,1,2,1,2,0,0,0,0,0
"127","Distraction","Take pictures during the activity",0,2,4,1,0,0,0,0,0,0,1
"128","Distraction","Tell myself that you can do this, and think about why",1,2,0,1,0,0,0,0,0,0,0
"129","Distraction","Think about situations where I achieved similar goals",0,3,0,1,0,1,0,0,0,0,0
"130","Distraction","Use positive selftalk",0,4,0,1,0,1,0,0,0,0,0
"131","Distraction","Watch something during the activity",0,3,1,0,4,0,0,0,0,0,0
"132","Education",NA,0,0,0,0,0,0,0,0,0,0,0
"133","FeelNervous","Adjust the intensity of the activity according to your needs",6,2,2,2,4,2,0,0,0,0,0
"134","FeelNervous","Change what I am going to do",3,2,3,2,2,0,0,0,0,0,0
"135","FeelNervous","Combine being active with something else I want to do",0,3,4,2,3,1,0,0,0,0,0
"136","FeelNervous","Confirm with the other(s) that they will join",1,1,3,13,1,0,0,0,0,0,0
"137","FeelNervous","Divide the activity into shorter parts",5,2,1,0,1,0,0,0,0,0,0
"138","FeelNervous","Do it indoors instead",1,4,10,1,0,2,0,0,0,1,0
"139","FeelNervous","Find someone to demonstrate the behaviour for you online, for example in a video",1,3,0,2,0,1,0,0,0,0,0
"140","FeelNervous","Find someone who supports me in this, either online or offline, e.g. by encouraging me.",1,4,2,4,2,3,0,0,0,0,0
"141","FeelNervous","Keep track of my activity using a device, such as a fitness tracker",4,2,0,1,2,0,0,0,0,0,0
"142","FeelNervous","Learn about the consequences this will have on my mental health",0,4,2,3,1,2,0,0,0,0,0
"143","FeelNervous","Look up inspirational content, such as videos or posts, online",4,3,2,2,3,2,0,0,0,0,0
"144","FeelNervous","Make a commitment to myself to do this no matter what comes in my way!",4,5,2,4,3,2,0,0,0,0,0
"145","FeelNervous","Make a commitment to myself to really do this!",4,5,3,4,5,3,0,0,0,0,0
"146","FeelNervous","Make my goal public",1,1,0,1,1,0,0,0,0,0,1
"147","FeelNervous","Provide a positive consequence or reward for doing the activity",2,2,1,1,1,0,0,0,0,1,0
"148","FeelNervous","Put on music or a podcast",3,5,2,1,2,1,0,0,0,0,0
"149","FeelNervous","Reduce the mental load by making most decisions (e.g. what to do exactly, what to wear, when to do it) ahead of time, or outsourcing some decisions",1,3,2,4,2,1,0,0,0,0,0
"150","FeelNervous","Remind myself of the positive effects doing this will have on my mental health",0,3,1,3,1,0,0,0,0,0,0
"151","FeelNervous","Remind myself of the positive effects doing this will have on my physical health",1,2,1,1,1,0,0,0,0,1,0
"152","FeelNervous","Remind myself of the positive effects this will have on me",6,5,5,4,7,5,0,0,0,0,0
"153","FeelNervous","Remind myself of the positive social effects doing this will have",1,4,3,5,3,1,0,0,0,0,0
"154","FeelNervous","Shorten the duration of the activity",7,3,2,2,3,2,0,0,0,0,0
"155","FeelNervous","Take a different path",2,3,6,1,3,0,2,0,0,0,1
"156","FeelNervous","Take away distractions",0,2,0,1,0,0,0,0,0,0,3
"157","FeelNervous","Take breaks whenever needed",4,3,0,0,1,0,0,0,0,0,0
"158","FeelNervous","Take medication to help with the symptoms",2,2,2,4,1,1,0,0,0,0,0
"159","FeelNervous","Tell myself that you can do this, and think about why",1,3,3,4,2,0,0,0,0,0,0
"160","FeelNervous","Think about how I will feel tonight if I haven't managed to do this",1,2,1,1,1,0,0,0,0,1,0
"161","FeelNervous","Think about situations where I achieved similar goals",1,2,0,0,0,0,0,0,0,0,0
"162","FeelNervous","Use positive selftalk",1,2,1,1,1,0,0,0,0,0,0
"163","FeelTired","Adjust the intensity of the activity according to your needs",4,1,1,3,1,0,0,0,0,0,0
"164","FeelTired","Ask other people if they want to join",2,5,2,7,1,0,0,0,0,0,0
"165","FeelTired","Ask someone to remind you of your activity",2,3,0,2,2,0,0,0,0,0,0
"166","FeelTired","Check the weather in advance",0,0,8,0,0,0,0,0,0,0,0
"167","FeelTired","Combine being active with something else I want to do",0,2,1,2,1,0,0,0,1,0,0
"168","FeelTired","Confirm with the other(s) that they will join",3,1,2,9,1,0,0,0,0,0,0
"169","FeelTired","Consume caffeine (e.g. coffee, energy drinks, caffeine pills) to help with this",5,1,1,0,1,1,0,0,0,0,0
"170","FeelTired","Deal with my symptoms without medication, e.g. by massaging affected areas or using heat/cold",3,2,1,1,2,3,0,0,0,0,0
"171","FeelTired","Divide the activity into shorter parts",3,4,1,0,1,0,0,0,0,0,0
"172","FeelTired","Do it at a different time today",3,3,2,2,2,1,0,0,0,0,0
"173","FeelTired","Do the activity alone",3,6,1,1,2,1,0,0,0,0,0
"174","FeelTired","Find social support in a pet",0,2,2,0,1,0,0,0,0,0,0
"175","FeelTired","Keep my goal in mind",2,2,1,1,1,1,0,0,0,0,0
"176","FeelTired","Keep track of my activity",1,2,2,2,3,1,0,0,0,0,0
"177","FeelTired","Learn about health benefits of doing the behaviour",2,3,1,1,3,1,0,0,0,0,0
"178","FeelTired","Learn about the consequences this will have on my mental health",3,3,1,0,1,0,0,0,0,0,0
"179","FeelTired","Learn about the risks of not doing the behaviour",2,2,0,2,2,2,0,0,0,0,0
"180","FeelTired","Look up inspirational content, such as videos or posts, online",1,2,1,1,1,1,0,0,0,0,0
"181","FeelTired","Make a commitment to myself to do this no matter what comes in my way!",3,5,1,3,1,1,0,0,0,0,0
"182","FeelTired","Make my goal public",1,1,2,1,1,1,0,0,0,0,0
"183","FeelTired","Provide a positive consequence or reward for doing the activity",1,2,0,0,1,0,0,0,0,0,0
"184","FeelTired","Put a visible reminder, like a postit, somewhere where I will see it",2,2,2,4,3,2,0,0,0,0,0
"185","FeelTired","Put on music or a podcast",3,1,3,0,2,1,0,0,0,0,0
"186","FeelTired","Put the material I will need within my sight as a visible reminder",0,1,0,0,1,4,0,0,0,0,0
"187","FeelTired","Reduce the mental load by making most decisions (e.g. what to do exactly, what to wear, when to do it) ahead of time, or outsourcing some decisions",1,3,1,1,1,2,0,1,0,0,0
"188","FeelTired","Remind myself of the positive effects doing this will have on my mental health",2,2,2,2,3,1,0,0,0,0,0
"189","FeelTired","Remind myself of the positive effects doing this will have on my physical health",1,3,1,1,1,1,0,0,0,0,0
"190","FeelTired","Remind myself of the positive effects this will have on me",4,2,2,1,1,1,0,0,0,0,0
"191","FeelTired","Remind myself of the positive social effects doing this will have",2,2,2,3,1,1,0,0,0,0,0
"192","FeelTired","Set an alarm",2,3,1,1,1,1,0,0,0,0,0
"193","FeelTired","Set my material or equipment ready to use",1,1,1,1,1,7,0,0,0,0,0
"194","FeelTired","Shorten the duration of the activity",5,2,0,0,0,1,0,0,0,0,0
"195","FeelTired","Start my day early enough to have time for the activity",2,5,1,1,1,1,0,0,0,0,0
"196","FeelTired","Take a different path",3,4,4,2,5,1,0,0,0,0,0
"197","FeelTired","Take medication to help with the symptoms",2,2,1,1,1,1,0,0,0,0,0
"198","FeelTired","Take pictures during the activity",0,0,1,1,0,0,0,0,0,0,0
"199","FeelTired","Tell myself that you can do this, and think about why",3,3,1,0,0,1,0,0,0,0,0
"200","FeelTired","Think about situations where I achieved similar goals",1,3,1,1,3,1,0,0,0,0,0
"201","FeelTired","Use positive selftalk",1,4,1,1,1,1,0,0,0,0,0
"202","FeelTired","Watch something during the activity",0,3,0,1,1,2,1,0,0,0,0
"203","FeelingBad","Adjust the intensity of the activity according to your needs",6,2,1,1,1,1,0,0,0,0,0
"204","FeelingBad","Ask other people if they want to join",0,6,1,4,0,1,0,0,0,0,0
"205","FeelingBad","Change the intensity of the activity",7,2,1,2,1,1,0,0,0,0,0
"206","FeelingBad","Change what I am going to do",6,5,4,2,2,1,0,0,0,0,0
"207","FeelingBad","Combine being active with something else I want to do",4,5,2,2,3,1,0,0,0,0,0
"208","FeelingBad","Consume caffeine (e.g. coffee, energy drinks, caffeine pills) to help with this",2,1,1,1,1,0,0,0,1,0,0
"209","FeelingBad","Divide the activity into shorter parts",6,4,4,3,3,0,0,0,0,0,1
"210","FeelingBad","Do it at a different time today",2,5,4,1,3,0,1,0,0,0,0
"211","FeelingBad","Do the activity alone",0,4,0,5,0,0,1,0,0,0,0
"212","FeelingBad","Find social support in a pet",1,1,2,0,1,0,0,0,0,0,0
"213","FeelingBad","Find someone to demonstrate the behaviour for you online, for example in a video",0,2,1,3,1,0,0,0,0,0,0
"214","FeelingBad","Find someone who supports me in this, either online or offline, e.g. by encouraging me.",3,5,1,3,2,0,0,0,0,0,0
"215","FeelingBad","Keep my goal in mind",2,3,2,0,2,0,0,0,0,0,0
"216","FeelingBad","Keep track of my activity using a device, such as a fitness tracker",2,1,1,0,1,0,0,0,0,0,0
"217","FeelingBad","Learn about health benefits of doing the behaviour",2,1,0,0,4,0,0,0,0,0,1
"218","FeelingBad","Learn about the consequences this will have on my health",1,1,1,1,1,0,0,0,0,0,0
"219","FeelingBad","Learn about the consequences this will have on my mental health",1,3,1,1,1,0,0,0,0,0,0
"220","FeelingBad","Learn about the risks of not doing the behaviour",0,3,3,2,1,0,0,0,0,0,0
"221","FeelingBad","Look up inspirational content, such as videos or posts, online",1,2,1,1,1,0,0,0,0,0,0
"222","FeelingBad","Make a commitment to myself to do this no matter what comes in my way!",2,5,3,1,0,0,0,0,0,0,0
"223","FeelingBad","Make a commitment to myself to really do this!",2,5,0,1,0,0,0,0,0,0,0
"224","FeelingBad","Make my goal public",1,3,2,1,1,0,0,0,0,0,0
"225","FeelingBad","Make sure to get enough sleep before the activity",3,1,1,1,1,1,0,0,0,0,0
"226","FeelingBad","Provide a positive consequence or reward for doing the activity",1,2,1,1,0,0,0,0,0,0,0
"227","FeelingBad","Put on music or a podcast",2,5,1,1,2,0,0,0,0,0,0
"228","FeelingBad","Reduce the mental load by making most decisions (e.g. what to do exactly, what to wear, when to do it) ahead of time, or outsourcing some decisions",1,3,2,2,1,0,0,0,0,0,0
"229","FeelingBad","Remind myself of the positive effects doing this will have on my mental health",2,2,0,0,2,2,0,0,0,0,0
"230","FeelingBad","Remind myself of the positive effects doing this will have on my physical health",2,3,0,0,1,0,0,0,0,0,0
"231","FeelingBad","Remind myself of the positive effects this will have on me",1,2,1,2,1,1,0,0,0,0,2
"232","FeelingBad","Remind myself of the positive social effects doing this will have",1,1,3,6,1,1,0,0,0,0,0
"233","FeelingBad","Set my material or equipment ready to use",0,0,1,0,0,8,0,0,0,0,0
"234","FeelingBad","Set suitable clothing ready to use",1,1,2,1,1,2,0,0,0,0,0
"235","FeelingBad","Shorten the duration of the activity",8,4,1,2,1,1,0,0,0,0,2
"236","FeelingBad","Take breaks whenever needed",3,3,1,0,0,1,0,0,0,0,0
"237","FeelingBad","Take pictures during the activity",0,1,3,1,1,1,0,0,0,0,0
"238","FeelingBad","Tell myself that you can do this, and think about why",1,2,1,1,1,1,0,0,0,0,2
"239","FeelingBad","Think about how I will feel tonight if I haven't managed to do this",2,2,2,2,2,0,0,0,0,0,0
"240","FeelingBad","Think about situations where I achieved similar goals",3,3,3,2,2,0,0,0,0,0,0
"241","FeelingBad","Use positive selftalk",0,5,0,1,0,0,0,0,0,0,0
"242","FeelingBad","Watch something during the activity",2,5,0,1,1,1,0,0,0,0,0
"243","FeelingEmbarrassed","Adjust the intensity of the activity according to your needs",5,3,1,0,2,0,0,0,0,0,0
"244","FeelingEmbarrassed","Ask other people if they want to join",2,6,4,3,2,1,1,0,0,0,0
"245","FeelingEmbarrassed","Ask someone to remind you of your activity",0,2,1,3,1,0,0,0,0,0,0
"246","FeelingEmbarrassed","Change the intensity of the activity",5,1,2,1,0,0,0,0,0,0,0
"247","FeelingEmbarrassed","Change what I am going to do",1,6,2,2,0,2,0,0,0,1,0
"248","FeelingEmbarrassed","Combine being active with something else I want to do",1,6,2,1,1,0,0,0,0,0,0
"249","FeelingEmbarrassed","Divide the activity into shorter parts",6,3,3,2,2,1,0,0,0,0,0
"250","FeelingEmbarrassed","Do it at a different time today",3,6,5,2,3,1,4,0,0,0,0
"251","FeelingEmbarrassed","Do it somewhere else",1,5,4,2,1,0,1,1,0,1,0
"252","FeelingEmbarrassed","Do the activity alone",0,4,0,4,1,0,0,0,0,1,0
"253","FeelingEmbarrassed","Find social support in a pet",1,4,5,0,2,0,0,0,0,0,0
"254","FeelingEmbarrassed","Find someone to help me with those practical barriers",2,6,1,4,1,1,0,0,0,0,0
"255","FeelingEmbarrassed","Find someone who supports me in this, either online or offline, e.g. by encouraging me.",0,6,1,1,0,1,0,0,0,3,0
"256","FeelingEmbarrassed","Keep my goal in mind",0,0,1,0,0,0,0,0,0,0,0
"257","FeelingEmbarrassed","Keep track of my activity using a device, such as a fitness tracker",1,1,1,0,1,0,0,0,0,0,0
"258","FeelingEmbarrassed","Learn about the consequences this will have on my mental health",1,1,3,4,0,0,0,0,0,0,0
"259","FeelingEmbarrassed","Look up inspirational content, such as videos or posts, online",2,2,3,3,0,1,0,0,0,0,0
"260","FeelingEmbarrassed","Make a commitment to myself to do this no matter what comes in my way!",0,1,0,2,0,0,0,0,0,0,0
"261","FeelingEmbarrassed","Make a commitment to myself to really do this!",0,1,1,2,0,0,0,0,0,0,0
"262","FeelingEmbarrassed","Make my goal public",0,0,1,1,1,1,0,0,0,1,0
"263","FeelingEmbarrassed","Make sure to be visible",0,0,1,1,0,0,0,0,0,0,0
"264","FeelingEmbarrassed","Make sure to warm up sufficiently before the activity",4,1,1,1,1,1,0,0,0,0,0
"265","FeelingEmbarrassed","Plan when I have to leave to have enough time",1,1,2,4,1,0,0,0,0,0,0
"266","FeelingEmbarrassed","Provide a positive consequence or reward for doing the activity",1,1,1,0,0,0,0,0,0,0,0
"267","FeelingEmbarrassed","Put on music or a podcast",2,3,2,0,2,0,0,0,0,0,0
"268","FeelingEmbarrassed","Reduce the mental load by making most decisions (e.g. what to do exactly, what to wear, when to do it) ahead of time, or outsourcing some decisions",1,2,1,3,1,0,0,0,0,0,0
"269","FeelingEmbarrassed","Remind myself of the positive effects doing this will have on my mental health",0,1,0,2,0,0,0,0,0,0,0
"270","FeelingEmbarrassed","Remind myself of the positive effects doing this will have on my physical health",2,2,2,0,2,0,0,0,0,0,0
"271","FeelingEmbarrassed","Remind myself of the positive effects this will have on me",0,0,1,0,0,0,0,0,0,0,0
"272","FeelingEmbarrassed","Remind myself of the positive social effects doing this will have",1,0,1,0,0,0,0,0,0,0,0
"273","FeelingEmbarrassed","Set my material or equipment ready to use",0,1,1,1,0,9,1,0,0,0,0
"274","FeelingEmbarrassed","Set suitable clothing ready to use",0,0,1,1,0,1,0,0,0,0,0
"275","FeelingEmbarrassed","Shorten the duration of the activity",7,5,4,2,3,1,0,0,0,0,0
"276","FeelingEmbarrassed","Take a different path",0,2,1,2,0,0,1,0,0,1,0
"277","FeelingEmbarrassed","Take breaks whenever needed",3,2,3,2,1,0,0,0,0,0,0
"278","FeelingEmbarrassed","Take pictures during the activity",0,1,2,2,0,1,0,0,0,0,0
"279","FeelingEmbarrassed","Tell myself that you can do this, and think about why",2,2,2,0,2,0,0,0,0,0,0
"280","FeelingEmbarrassed","Think about how I will feel tonight if I haven't managed to do this",0,2,0,1,0,0,0,0,0,0,0
"281","FeelingEmbarrassed","Think about situations where I achieved similar goals",1,3,1,1,1,1,0,0,0,0,0
"282","FeelingEmbarrassed","Use positive selftalk",1,3,1,1,0,0,0,0,0,0,0
"283","FeelingIll","Adjust the intensity of the activity according to your needs",6,3,1,2,1,0,0,0,0,1,0
"284","FeelingIll","Ask other people if they want to join",1,4,3,6,1,0,0,0,0,1,0
"285","FeelingIll","Ask someone to remind you of your activity",1,2,1,0,2,0,0,0,0,0,0
"286","FeelingIll","Call someone while doing the activity",0,2,2,3,2,0,0,0,0,0,0
"287","FeelingIll","Change the intensity of the activity",5,1,0,1,2,0,0,0,0,0,0
"288","FeelingIll","Change what I am going to do",5,2,2,1,2,1,0,0,0,0,1
"289","FeelingIll","Combine being active with something else I want to do",3,6,3,1,2,0,0,1,0,0,0
"290","FeelingIll","Confirm that the gym / court / ... will be available",1,2,1,2,0,2,0,0,0,0,0
