"","ID_barrier","label_barrier","Instance_barrier","barrier_group","Instance_solution","ID_solution","label_solution","Category","Count_Always","Count_CC","Count_Never","Count_Total","Rel_Always","Rel_CC","Rel_Never","Relevance"
"57","COPPER:3040","back pain","back pain","Bodily and affective feelings","learn about health benefits of doing the behaviour","COPPER:4036","inform about health benefits BCT","social support, information and awareness",17,2,2,21,0.81,0.1,0.1,"relevant"
"58","COPPER:3040","back pain","back pain","Bodily and affective feelings","think about situations where i achieved similar goals","BCIO:007239","prompt thinking related to successful performance BCT","goal directed BCT",14,2,5,21,0.67,0.1,0.24,"relevant"
"59","COPPER:3040","back pain","back pain","Bodily and affective feelings","use positive selftalk","BCIO:007140","prompt self-talk BCT","goal directed BCT",12,1,8,21,0.57,0.05,0.38,"relevant"
"60","COPPER:3040","back pain","back pain","Bodily and affective feelings","take breaks whenever needed","COPPER:4042","advice to take breaks BCT","prepare for activity",16,4,1,21,0.76,0.19,0.05,"relevant"
"61","COPPER:3040","back pain","back pain","Bodily and affective feelings","keep my goal in mind","BCIO:007141","advise to keep behaviour goal in mind","goal directed BCT",9,1,11,21,0.43,0.05,0.52,"relevant"
"62","COPPER:3040","back pain","back pain","Bodily and affective feelings","deal with my symptoms without medication, e.g. by massaging affected areas or using heat/cold","COPPER:4048","non-pharmaceutical pain management BCT","prepare for activity",14,4,3,21,0.67,0.19,0.14,"relevant"
"63","COPPER:3040","back pain","back pain","Bodily and affective feelings","make my goal public","BCIO:007122","make a goal public BCT","goal directed BCT",2,1,16,19,0.11,0.05,0.84,"relevant"
"64","COPPER:3040","back pain","back pain","Bodily and affective feelings","provide a positive consequence or reward for doing the activity","BCIO:007252","provide positive consequence for behaviour BCT","goal directed BCT",7,6,8,21,0.33,0.29,0.38,"relevant"
"65","COPPER:3040","back pain","back pain","Bodily and affective feelings","watch something during the activity","COPPER:4001","plan inclusion of audiovisual media BCT","goal directed BCT",2,5,13,20,0.1,0.25,0.65,"relevant"
"66","COPPER:3040","back pain","back pain","Bodily and affective feelings","consume caffeine (e.g. coffee, energy drinks, caffeine pills) to help with this","COPPER:4045","encourage caffeine consumption BCT","prepare for activity",1,2,18,21,0.05,0.1,0.86,"irrelevant"
"67","COPPER:3040","back pain","back pain","Bodily and affective feelings","shorten the duration of the activity","COPPER:4007","shorten activity BCT","review behavioral plan",14,5,0,19,0.74,0.26,0,"relevant"
"68","COPPER:3040","back pain","back pain","Bodily and affective feelings","remind myself of the positive effects this will have on me","BCIO:007068","increase salience of consequences BCT","social support, information and awareness",8,4,7,19,0.42,0.21,0.37,"relevant"
"69","COPPER:3040","back pain","back pain","Bodily and affective feelings","put on music or a podcast","COPPER:4000","plan inclusion of audio media BCT","goal directed BCT",3,3,13,19,0.16,0.16,0.68,"relevant"
"70","COPPER:3040","back pain","back pain","Bodily and affective feelings","find someone to demonstrate the behaviour for you online, for example in a video","COPPER:4029","advice to seek demonstration of the behaviour online","social support, information and awareness",6,4,10,20,0.3,0.2,0.5,"irrelevant"
"71","COPPER:3040","back pain","back pain","Bodily and affective feelings","start my day early enough to have time for the activity","COPPER:4017","start day early BCT","review behavioral plan",5,2,14,21,0.24,0.1,0.67,"irrelevant"
"72","COPPER:3040","back pain","back pain","Bodily and affective feelings","take medication to help with the symptoms","COPPER:4044","encourage short term pharmacological support BCT","prepare for activity",9,8,3,20,0.45,0.4,0.15,"relevant"
"73","COPPER:3040","back pain","back pain","Bodily and affective feelings","remind myself of the positive effects doing this will have on my physical health","COPPER:4037","increase salience of health consequences BCT","social support, information and awareness",11,4,5,20,0.55,0.2,0.25,"relevant"
"74","COPPER:3040","back pain","back pain","Bodily and affective feelings","make sure to warm up sufficiently before the activity","COPPER:4047","warm up BCT","prepare for activity",15,3,1,19,0.79,0.16,0.05,"relevant"
"75","COPPER:3040","back pain","back pain","Bodily and affective feelings","combine being active with something else i want to do","BCIO:007016","advise goal integration","goal directed BCT",8,7,6,21,0.38,0.33,0.29,"relevant"
"76","COPPER:3040","back pain","back pain","Bodily and affective feelings","change what i am going to do","COPPER:4008","review plan (other activity) BCT","review behavioral plan",10,8,2,20,0.5,0.4,0.1,"relevant"
"77","COPPER:3040","back pain","back pain","Bodily and affective feelings","tell myself that you can do this, and think about why","BCIO:007137","persuade about personal capability BCT","goal directed BCT",14,3,4,21,0.67,0.14,0.19,"relevant"
"78","COPPER:3040","back pain","back pain","Bodily and affective feelings","make a commitment to myself to really do this!","BCIO:007015","affirm commitment BCT","goal directed BCT",11,2,8,21,0.52,0.1,0.38,"relevant"
"79","COPPER:3040","back pain","back pain","Bodily and affective feelings","adjust the intensity of the activity according to your needs","COPPER:4041","advice to pace activity BCT","prepare for activity",14,5,1,20,0.7,0.25,0.05,"relevant"
"80","COPPER:3040","back pain","back pain","Bodily and affective feelings","think about how i will feel tonight if i haven't managed to do this","BCIO:007067","induce anticipated regret BCT","social support, information and awareness",9,2,9,20,0.45,0.1,0.45,"relevant"
"81","COPPER:3014","usable material","material is broken / not usable","Behavioral opportunity","set my material or equipment ready to use","COPPER:4025","prepare required material BCT","prepare for activity",11,5,3,19,0.58,0.26,0.16,"relevant"
"82","COPPER:3014","usable material","material is broken / not usable","Behavioral opportunity","find someone to help me with those practical barriers","BCIO:007030","advise to seek instrumental support BCT","social support, information and awareness",14,4,2,20,0.7,0.2,0.1,"relevant"
"83","COPPER:3014","usable material","material is broken / not usable","Behavioral opportunity","change what i am going to do","COPPER:4008","review plan (other activity) BCT","review behavioral plan",11,6,3,20,0.55,0.3,0.15,"relevant"
"84","COPPER:3014","usable material","material is broken / not usable","Behavioral opportunity","find someone to provide you with instructions for the behaviour online, for example in a video or text","COPPER:4030","advice to seek instructions for the behaviour online","social support, information and awareness",4,5,11,20,0.2,0.25,0.55,"irrelevant"
"85","COPPER:3014","usable material","material is broken / not usable","Behavioral opportunity","look up inspirational content, such as videos or posts, online","COPPER:4050","advise to use motivational content","goal directed BCT",5,0,15,20,0.25,0,0.75,"irrelevant"
"86","COPPER:3014","usable material","material is broken / not usable","Behavioral opportunity","set suitable clothing ready to use","COPPER:4026","prepare suitable clothing BCT","prepare for activity",8,3,8,19,0.42,0.16,0.42,"relevant"
"87","COPPER:3014","usable material","material is broken / not usable","Behavioral opportunity","make sure to be visible","COPPER:4024","make self visible BCT","prepare for activity",2,2,16,20,0.1,0.1,0.8,"irrelevant"
"88","COPPER:3014","usable material","material is broken / not usable","Behavioral opportunity","take pictures during the activity","COPPER:4002","plan inclusion of taking pictures BCT","goal directed BCT",0,1,19,20,0,0.05,0.95,"irrelevant"
"89","COPPER:3014","usable material","material is broken / not usable","Behavioral opportunity","use positive selftalk","BCIO:007140","prompt self-talk BCT","goal directed BCT",7,4,9,20,0.35,0.2,0.45,"irrelevant"
"90","COPPER:3014","usable material","material is broken / not usable","Behavioral opportunity","take breaks whenever needed","COPPER:4042","advice to take breaks BCT","prepare for activity",4,2,14,20,0.2,0.1,0.7,"irrelevant"
"91","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","adjust the intensity of the activity according to your needs","COPPER:4041","advice to pace activity BCT","prepare for activity",8,5,8,21,0.38,0.24,0.38,"irrelevant"
"92","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","do it somewhere else","COPPER:4010","review plan (other location) BCT","review behavioral plan",4,9,6,19,0.21,0.47,0.32,"relevant"
"93","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","make a commitment to myself to do this no matter what comes in my way!","COPPER:4003","affirm commitment despite barriers BCT","goal directed BCT",17,2,1,20,0.85,0.1,0.05,"relevant"
"94","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","find someone to provide you with instructions for the behaviour online, for example in a video or text","COPPER:4030","advice to seek instructions for the behaviour online","social support, information and awareness",8,4,8,20,0.4,0.2,0.4,"irrelevant"
"95","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","take pictures during the activity","COPPER:4002","plan inclusion of taking pictures BCT","goal directed BCT",2,2,13,17,0.12,0.12,0.76,"relevant"
"96","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","reduce the mental load by making most decisions (e.g. what to do exactly, what to wear, when to do it) ahead of time, or outsourcing some decisions","BCIO:007134","conserve mental resources BCT","prepare for activity",17,1,2,20,0.85,0.05,0.1,"relevant"
"97","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","find someone to demonstrate the behaviour for you online, for example in a video","COPPER:4029","advice to seek demonstration of the behaviour online","social support, information and awareness",7,1,9,17,0.41,0.06,0.53,"irrelevant"
"98","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","find someone who supports me in this, either online or offline, e.g. by encouraging me.","BCIO:007031","advise to seek emotional support BCT","social support, information and awareness",10,2,8,20,0.5,0.1,0.4,"relevant"
"99","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","call someone while doing the activity","BCIO:007016","advise goal integration","goal directed BCT",4,6,10,20,0.2,0.3,0.5,"relevant"
"100","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","plan how to get there","COPPER:4019","plan transport BCT","review behavioral plan",11,1,8,20,0.55,0.05,0.4,"irrelevant"
"101","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","set my material or equipment ready to use","COPPER:4025","prepare required material BCT","prepare for activity",5,7,8,20,0.25,0.35,0.4,"relevant"
"102","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","ask someone to remind you of your activity","COPPER:4031","seek reminder from others BCT","social support, information and awareness",5,3,9,17,0.29,0.18,0.53,"relevant"
"103","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","make a commitment to myself to really do this!","BCIO:007015","affirm commitment BCT","goal directed BCT",17,2,1,20,0.85,0.1,0.05,"relevant"
"104","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","change what i am going to do","COPPER:4008","review plan (other activity) BCT","review behavioral plan",8,7,5,20,0.4,0.35,0.25,"relevant"
"105","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","make sure to get enough sleep before the activity","COPPER:4049","appropriate sleep BCT","prepare for activity",15,0,5,20,0.75,0,0.25,"relevant"
"106","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","set suitable clothing ready to use","COPPER:4026","prepare suitable clothing BCT","prepare for activity",6,6,9,21,0.29,0.29,0.43,"relevant"
"107","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","put on music or a podcast","COPPER:4000","plan inclusion of audio media BCT","goal directed BCT",12,3,4,19,0.63,0.16,0.21,"relevant"
"108","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","remind myself of the positive effects doing this will have on my physical health","COPPER:4037","increase salience of health consequences BCT","social support, information and awareness",13,1,3,17,0.76,0.06,0.18,"irrelevant"
"109","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","provide a positive consequence or reward for doing the activity","BCIO:007252","provide positive consequence for behaviour BCT","goal directed BCT",11,4,5,20,0.55,0.2,0.25,"relevant"
"110","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","combine being active with something else i want to do","BCIO:007016","advise goal integration","goal directed BCT",10,6,5,21,0.48,0.29,0.24,"relevant"
"111","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","think about situations where i achieved similar goals","BCIO:007239","prompt thinking related to successful performance BCT","goal directed BCT",18,1,2,21,0.86,0.05,0.1,"relevant"
"112","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","learn about the risks of not doing the behaviour","COPPER:4035","inform about health risks BCT","social support, information and awareness",12,4,5,21,0.57,0.19,0.24,"irrelevant"
"113","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","do it at a different time today","COPPER:4005","adapt starting time BCT","review behavioral plan",8,8,5,21,0.38,0.38,0.24,"relevant"
"114","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","divide the activity into shorter parts","COPPER:4006","divide activity BCT","review behavioral plan",10,4,3,17,0.59,0.24,0.18,"relevant"
"115","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","ask other people if they want to join","COPPER:4014","add company BCT","review behavioral plan",8,5,7,20,0.4,0.25,0.35,"relevant"
"116","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","make my goal public","BCIO:007122","make a goal public BCT","goal directed BCT",3,3,11,17,0.18,0.18,0.65,"relevant"
"117","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","set an alarm","COPPER:4032","set alarm BCT","prepare for activity",6,3,8,17,0.35,0.18,0.47,"irrelevant"
"118","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","keep track of my activity","BCIO:007017","monitoring BCT","goal directed BCT",11,2,4,17,0.65,0.12,0.24,"relevant"
"119","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","shorten the duration of the activity","COPPER:4007","shorten activity BCT","review behavioral plan",13,4,4,21,0.62,0.19,0.19,"relevant"
"120","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","do it indoors instead","COPPER:4011","move indoors","review behavioral plan",2,10,8,20,0.1,0.5,0.4,"irrelevant"
"121","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","find social support in a pet","COPPER:4027","advise to seek emotional support from a pet BCT","social support, information and awareness",2,6,12,20,0.1,0.3,0.6,"relevant"
"122","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","take breaks whenever needed","COPPER:4042","advice to take breaks BCT","prepare for activity",10,4,3,17,0.59,0.24,0.18,"irrelevant"
"123","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","use positive selftalk","BCIO:007140","prompt self-talk BCT","goal directed BCT",17,2,2,21,0.81,0.1,0.1,"relevant"
"124","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","keep my goal in mind","BCIO:007141","advise to keep behaviour goal in mind","goal directed BCT",20,0,1,21,0.95,0,0.05,"relevant"
"125","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","take away distractions","BCIO:007284","reduce distraction BCT","prepare for activity",18,1,1,20,0.9,0.05,0.05,"relevant"
"126","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","keep track of my activity using a device, such as a fitness tracker","COPPER:4043","monitor behaviour passively BCT","goal directed BCT",8,1,11,20,0.4,0.05,0.55,"relevant"
"127","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","make sure to eat well before and after, and time your meals appropriately","COPPER:4046","appropriate nutrition BCT","prepare for activity",12,1,6,19,0.63,0.05,0.32,"irrelevant"
"128","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","look up inspirational content, such as videos or posts, online","COPPER:4050","advise to use motivational content","goal directed BCT",11,3,7,21,0.52,0.14,0.33,"relevant"
"129","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","watch something during the activity","COPPER:4001","plan inclusion of audiovisual media BCT","goal directed BCT",2,3,12,17,0.12,0.18,0.71,"relevant"
"130","COPPER:3031","external attentional self-regulation capability","i will get distracted by others or things around me during the activity","Capability","tell myself that you can do this, and think about why","BCIO:007137","persuade about personal capability BCT","goal directed BCT",16,2,1,19,0.84,0.11,0.05,"relevant"
"131","MFOEM:000108","feeling bad","feeling bad","Bodily and affective feelings","learn about the consequences this will have on my health","BCIO:007063","inform about health consequences BCT","social support, information and awareness",15,1,3,19,0.79,0.05,0.16,"relevant"
